month_t,journal,cong_lag2,news_lag2,news_t,cong_t
2022-03-01,NYT,0,1,0,1
2022-04-01,NYT,0,4,5,0
2022-05-01,NYT,1,0,3,1
2022-06-01,NYT,0,5,5,1
2022-07-01,NYT,1,3,15,2
2022-08-01,NYT,1,5,4,0
2022-09-01,NYT,2,15,0,0
2022-10-01,NYT,0,4,9,0
2022-11-01,NYT,0,0,2,0
2022-12-01,NYT,0,9,0,5
2023-01-01,NYT,0,2,3,1
2023-02-01,NYT,5,0,3,3
2023-03-01,NYT,1,3,8,1
2023-04-01,NYT,3,3,0,1
2023-05-01,NYT,1,8,7,1
2023-06-01,NYT,1,0,0,0
2023-07-01,NYT,1,7,3,3
2023-08-01,NYT,0,0,8,0
2023-09-01,NYT,3,3,3,1
2023-10-01,NYT,0,8,13,0
2023-11-01,NYT,1,3,5,0
2023-12-01,NYT,0,13,5,1
2024-01-01,NYT,0,5,4,0
2024-02-01,NYT,1,5,10,1
2024-03-01,NYT,0,4,2,3
2024-04-01,NYT,1,10,2,3
2024-05-01,NYT,3,2,5,2
2024-06-01,NYT,3,2,7,2
2024-07-01,NYT,2,5,1,1
2024-08-01,NYT,2,7,4,2
2024-09-01,NYT,1,1,4,0
2024-10-01,NYT,2,4,2,0
2024-11-01,NYT,0,4,2,1
2024-12-01,NYT,0,2,5,2
2025-01-01,NYT,1,2,5,7
2025-02-01,NYT,2,5,0,0
2025-03-01,NYT,7,5,0,1
2025-04-01,NYT,0,0,2,5
2025-05-01,NYT,1,0,1,4
2025-06-01,NYT,5,2,7,1
2025-07-01,NYT,4,1,4,0
2025-08-01,NYT,1,7,8,0
2025-09-01,NYT,0,4,7,1
2025-10-01,NYT,0,8,2,1
2025-11-01,NYT,1,7,1,0
2025-12-01,NYT,1,2,6,7
2022-03-01,WP,0,4,5,1
2022-04-01,WP,0,5,7,0
2022-05-01,WP,1,5,2,1
2022-06-01,WP,0,7,1,1
2022-07-01,WP,1,2,7,2
2022-08-01,WP,1,1,10,0
2022-09-01,WP,2,7,7,0
2022-10-01,WP,0,10,5,0
2022-11-01,WP,0,7,5,0
2022-12-01,WP,0,5,4,5
2023-01-01,WP,0,5,3,1
2023-02-01,WP,5,4,2,3
2023-03-01,WP,1,3,7,1
2023-04-01,WP,3,2,3,1
2023-05-01,WP,1,7,5,1
2023-06-01,WP,1,3,2,0
2023-07-01,WP,1,5,3,3
2023-08-01,WP,0,2,5,0
2023-09-01,WP,3,3,0,1
2023-10-01,WP,0,5,5,0
2023-11-01,WP,1,0,3,0
2023-12-01,WP,0,5,5,1
2024-01-01,WP,0,3,0,0
2024-02-01,WP,1,5,0,1
2024-03-01,WP,0,0,0,3
2024-04-01,WP,1,0,2,3
2024-05-01,WP,3,0,0,2
2024-06-01,WP,3,2,0,2
2024-07-01,WP,2,0,5,1
2024-08-01,WP,2,0,0,2
2024-09-01,WP,1,5,2,0
2024-10-01,WP,2,0,2,0
2024-11-01,WP,0,2,6,1
2024-12-01,WP,0,2,6,2
2025-01-01,WP,1,6,4,7
2025-02-01,WP,2,6,0,0
2025-03-01,WP,7,4,9,1
2025-04-01,WP,0,0,4,5
2025-05-01,WP,1,9,2,4
2025-06-01,WP,5,4,5,1
2025-07-01,WP,4,2,2,0
2025-08-01,WP,1,5,8,0
2025-09-01,WP,0,2,1,1
2025-10-01,WP,0,8,1,1
2025-11-01,WP,1,1,1,0
2025-12-01,WP,1,1,5,7
2022-03-01,WSJ,0,0,1,1
2022-04-01,WSJ,0,0,2,0
2022-05-01,WSJ,1,1,0,1
2022-06-01,WSJ,0,2,2,1
2022-07-01,WSJ,1,0,5,2
2022-08-01,WSJ,1,2,0,0
2022-09-01,WSJ,2,5,0,0
2022-10-01,WSJ,0,0,3,0
2022-11-01,WSJ,0,0,0,0
2022-12-01,WSJ,0,3,2,5
2023-01-01,WSJ,0,0,3,1
2023-02-01,WSJ,5,2,0,3
2023-03-01,WSJ,1,3,0,1
2023-04-01,WSJ,3,0,2,1
2023-05-01,WSJ,1,0,4,1
2023-06-01,WSJ,1,2,0,0
2023-07-01,WSJ,1,4,0,3
2023-08-01,WSJ,0,0,2,0
2023-09-01,WSJ,3,0,0,1
2023-10-01,WSJ,0,2,0,0
2023-11-01,WSJ,1,0,0,0
2023-12-01,WSJ,0,0,2,1
2024-01-01,WSJ,0,0,0,0
2024-02-01,WSJ,1,2,0,1
2024-03-01,WSJ,0,0,0,3
2024-04-01,WSJ,1,0,1,3
2024-05-01,WSJ,3,0,0,2
2024-06-01,WSJ,3,1,1,2
2024-07-01,WSJ,2,0,0,1
2024-08-01,WSJ,2,1,2,2
2024-09-01,WSJ,1,0,0,0
2024-10-01,WSJ,2,2,0,0
2024-11-01,WSJ,0,0,1,1
2024-12-01,WSJ,0,0,0,2
2025-01-01,WSJ,1,1,2,7
2025-02-01,WSJ,2,0,0,0
2025-03-01,WSJ,7,2,0,1
2025-04-01,WSJ,0,0,0,5
2025-05-01,WSJ,1,0,0,4
2025-06-01,WSJ,5,0,0,1
2025-07-01,WSJ,4,0,0,0
2025-08-01,WSJ,1,0,0,0
2025-09-01,WSJ,0,0,0,1
2025-10-01,WSJ,0,0,0,1
2025-11-01,WSJ,1,0,0,0
2025-12-01,WSJ,1,0,0,7
