row,month_t,news_lag,cong_lag,news_t,cong_t
212,2012-09,0,0,0,0
213,2012-10,0,0,0,0
214,2012-11,0,0,0,0
215,2012-12,0,0,1,0
216,2013-01,1,0,0,0
217,2013-02,0,0,0,0
218,2013-03,0,0,0,0
219,2013-04,0,0,0,0
220,2013-05,0,0,0,0
221,2013-06,0,0,0,0
222,2013-07,0,0,0,0
223,2013-08,0,0,0,0
224,2013-09,0,0,0,0
225,2013-10,0,0,0,0
226,2013-11,0,0,0,0
227,2013-12,0,0,0,0
228,2014-01,0,0,0,0
229,2014-02,0,0,0,0
230,2014-03,0,0,2,0
231,2014-04,2,0,0,0
232,2014-05,0,0,0,0
233,2014-06,0,0,0,0
234,2014-07,0,0,0,0
235,2014-08,0,0,0,0
236,2014-09,0,0,0,0
237,2014-10,0,0,0,0
238,2014-11,0,0,1,0
239,2014-12,1,0,0,0
240,2015-01,0,0,0,0
241,2015-02,0,0,0,0
242,2015-03,0,0,0,0
243,2015-04,0,0,0,0
244,2015-05,0,0,0,0
245,2015-06,0,0,0,0
246,2015-07,0,0,0,2
247,2015-08,0,2,0,0
248,2015-09,0,0,0,0
249,2015-10,0,0,0,0
250,2015-11,0,0,0,0
251,2015-12,0,0,0,0
252,2016-01,0,0,0,0
253,2016-02,0,0,0,0
254,2016-03,0,0,0,0
255,2016-04,0,0,0,0
256,2016-05,0,0,0,0
257,2016-06,0,0,0,0
258,2016-07,0,0,0,1
259,2016-08,0,1,0,0
260,2016-09,0,0,0,0
261,2016-10,0,0,0,0
262,2016-11,0,0,0,0
263,2016-12,0,0,0,0
264,2017-01,0,0,0,0
265,2017-02,0,0,0,0
266,2017-03,0,0,1,0
267,2017-04,1,0,0,0
268,2017-05,0,0,0,0
269,2017-06,0,0,0,0
270,2017-07,0,0,0,0
271,2017-08,0,0,0,0
272,2017-09,0,0,0,0
273,2017-10,0,0,0,0
274,2017-11,0,0,0,0
275,2017-12,0,0,0,0
276,2018-01,0,0,0,0
277,2018-02,0,0,0,0
278,2018-03,0,0,0,0
279,2018-04,0,0,0,0
280,2018-05,0,0,0,0
281,2018-06,0,0,0,0
282,2018-07,0,0,0,0
283,2018-08,0,0,0,0
284,2018-09,0,0,0,0
285,2018-10,0,0,0,0
286,2018-11,0,0,0,0
287,2018-12,0,0,0,0
288,2019-01,0,0,0,0
289,2019-02,0,0,0,0
290,2019-03,0,0,0,0
291,2019-04,0,0,0,0
292,2019-05,0,0,0,0
293,2019-06,0,0,0,0
294,2019-07,0,0,0,0
295,2019-08,0,0,0,0
296,2019-09,0,0,0,0
297,2019-10,0,0,0,0
298,2019-11,0,0,0,0
299,2019-12,0,0,0,0
300,2020-01,0,0,0,0
301,2020-02,0,0,0,0
302,2020-03,0,0,0,0
303,2020-04,0,0,0,0
304,2020-05,0,0,0,0
305,2020-06,0,0,0,0
306,2020-07,0,0,0,0
307,2020-08,0,0,0,0
308,2020-09,0,0,0,0
309,2020-10,0,0,0,0
310,2020-11,0,0,0,0
311,2020-12,0,0,0,0
312,2021-01,0,0,0,0
313,2021-02,0,0,0,0
314,2021-03,0,0,0,0
315,2021-04,0,0,0,0
316,2021-05,0,0,0,0
317,2021-06,0,0,0,0
318,2021-07,0,0,0,0
319,2021-08,0,0,0,0
320,2021-09,0,0,0,0
321,2021-10,0,0,0,0
322,2021-11,0,0,0,0
323,2021-12,0,0,0,0
324,2022-01,0,0,0,0
325,2022-02,0,0,0,0
326,2022-03,0,0,0,0
327,2022-04,0,0,0,0
328,2022-05,0,0,0,0
329,2022-06,0,0,0,0
330,2022-07,0,0,0,0
331,2022-08,0,0,0,0
332,2022-09,0,0,0,0
333,2022-10,0,0,1,0
334,2022-11,1,0,0,0
335,2022-12,0,0,0,0
336,2023-01,0,0,0,0
337,2023-02,0,0,0,0
338,2023-03,0,0,0,0
339,2023-04,0,0,0,0
340,2023-05,0,0,0,0
341,2023-06,0,0,0,0
342,2023-07,0,0,0,0
343,2023-08,0,0,0,0
344,2023-09,0,0,0,0
345,2023-10,0,0,0,0
346,2023-11,0,0,0,0
347,2023-12,0,0,0,0
348,2024-01,0,0,0,0
349,2024-02,0,0,0,0
350,2024-03,0,0,0,1
351,2024-04,0,1,0,0
352,2024-05,0,0,0,0
353,2024-06,0,0,0,0
354,2024-07,0,0,0,0
355,2024-08,0,0,0,0
356,2024-09,0,0,0,0
357,2024-10,0,0,0,0
358,2024-11,0,0,0,0
359,2024-12,0,0,0,0
360,2025-01,0,0,0,5
361,2025-02,0,5,0,0
362,2025-03,0,0,0,1
363,2025-04,0,1,0,1
364,2025-05,0,1,0,0
365,2025-06,0,0,0,0
366,2025-07,0,0,0,0
367,2025-08,0,0,0,0
368,2025-09,0,0,0,0
369,2025-10,0,0,0,0
370,2025-11,0,0,0,0
371,2025-12,0,0,0,1
