Unnamed: 0,GOID,topic,gamma,Date
11045,281726720,3,0.786296855381356,1992-10-26
11023,281728368,3,0.412393075023752,1992-10-02
16024,281730483,4,0.467294424091281,1992-07-23
16027,281735280,4,0.66093181095175,1992-07-24
31296,281740602,7,0.320909628077904,1992-12-31
31214,281747965,7,0.635329833245812,1992-09-15
41306,281749862,9,0.554133162735708,1992-08-08
41267,281753636,9,0.588784335804563,1992-06-02
31110,281754031,7,0.796504089096848,1992-05-09
21120,281754452,5,0.530362974427962,1992-09-24
21175,281755904,5,0.671913457176215,1992-12-16
21056,281758311,5,0.735835996842539,1992-06-04
10985,281758564,3,0.463804633743394,1992-08-11
46204,281772750,10,0.402113764715623,1992-02-07
36298,281775230,8,0.708412846993704,1992-10-11
46434,281777696,10,0.463199553075056,1992-11-17
10989,281778972,3,0.610253403749265,1992-08-19
41301,281780273,9,0.548854394086423,1992-08-04
16115,281781054,4,0.703110806931477,1992-12-06
11001,281781114,3,0.49584848370483,1992-09-15
41337,281787431,9,0.495632114364926,1992-09-26
41340,281788618,9,0.763502630804361,1992-09-27
31204,281793278,7,0.884463578770811,1992-08-14
41403,281793370,9,0.315167029292425,1992-12-31
31220,281796465,7,0.637705767307257,1992-09-15
16080,281799830,4,0.680544872480315,1992-10-11
31293,281800747,7,0.679812877677341,1992-12-28
31196,281801797,7,0.725292874797456,1992-08-08
46454,281806759,10,0.722040915653996,1992-12-27
10855,281808289,3,0.307029112202296,1992-03-08
21183,281813410,5,0.404103611431493,1992-12-21
11069,281814076,3,0.897537102607098,1992-12-20
11042,281814675,3,0.70523442067445,1992-10-25
883,281814959,1,0.737680996057794,1992-09-06
21193,281817260,5,0.41710308632828,1993-01-03
11041,281817427,3,0.552933459480111,1992-10-24
1000,281817966,1,0.470272025593813,1993-02-06
11053,281820535,3,0.393483700321787,1992-11-06
31409,281824421,7,0.873174627824002,1993-03-28
31197,281825179,7,0.737843180618861,1992-08-08
31289,281826558,7,0.48115014571873,1992-12-21
11038,281827053,3,0.844351062227486,1992-10-21
36328,281828637,8,0.521187548429788,1992-11-29
31226,281835131,7,0.675566957132127,1992-09-20
1051,281835400,1,0.408980864955134,1993-03-10
41381,281839208,9,0.487655148577064,1992-11-29
16124,281841683,4,0.432965172046154,1992-12-20
31288,281841810,7,0.401474416458289,1992-12-20
21190,281842600,5,0.462573476918872,1992-12-31
31083,281842621,7,0.29685122184353,1992-03-27
26225,281842662,6,0.360695292500427,1992-12-07
928,281842763,1,0.604057030888938,1992-10-18
41411,281843856,9,0.496857625142835,1993-01-09
970,281851713,1,0.564292693370157,1992-12-29
10994,281856358,3,0.686988566319394,1992-09-14
31350,281862479,7,0.813841010148507,1993-02-23
11130,281863015,3,0.626290867767741,1993-02-19
11049,281864189,3,0.889162408723457,1992-10-27
21155,281868566,5,0.569719847317249,1992-10-27
11048,281868739,3,0.620122673476686,1992-10-27
31339,281870521,7,0.505799646264094,1993-02-17
31222,281870572,7,0.383024964293745,1992-09-16
11125,281871737,3,0.876309363136526,1993-02-17
16159,281874794,4,0.936479033091147,1993-01-28
11126,281877427,3,0.836794954042272,1993-02-17
11101,281878297,3,0.650399726077044,1993-01-22
41422,281878432,9,0.485776437050918,1993-01-20
46493,281880803,10,0.349585568870604,1993-02-11
31307,281881771,7,0.566631440292138,1993-01-15
41446,281883093,9,0.501939488957142,1993-02-15
31336,281888223,7,0.612205198970385,1993-02-13
31359,281892171,7,0.935941110861423,1993-02-27
31306,281895784,7,0.547710886362456,1993-01-13
1075,281899742,1,0.5663511468055,1993-03-25
31397,281900334,7,0.414156957048057,1993-03-25
999,281900419,1,0.607424822900785,1993-02-04
41438,281901701,9,0.709054007692714,1993-02-11
11198,281904616,3,0.627990399277951,1993-03-29
21264,281906234,5,0.576492340605294,1993-03-07
11089,281907450,3,0.369890932619248,1993-01-11
6143,281909200,2,0.601401036141497,1993-03-28
31360,281910424,7,0.825685903135698,1993-02-27
16142,281911126,4,0.85218641178118,1993-01-10
41461,281914248,9,0.486639428722475,1993-02-24
41426,281916326,9,0.555192684288808,1993-01-23
41434,281916498,9,0.394916565291965,1993-02-09
31357,281917622,7,0.515433846911466,1993-02-26
31356,281917790,7,0.83482130976339,1993-02-26
31354,281922142,7,0.663406572195561,1993-02-25
41499,281923863,9,0.565227389211569,1993-03-23
1041,281928023,1,0.841542214696019,1993-03-02
31412,281928690,7,0.873524925172817,1993-03-28
31452,281930814,7,0.750738985949202,1993-04-22
31405,281933599,7,0.723567646096087,1993-03-26
1131,281938107,1,0.367945512899646,1993-04-25
41614,281940046,9,0.794172707375256,1993-08-10
31404,281950021,7,0.616813712753967,1993-03-26
31507,281954237,7,0.797220090014856,1993-08-12
41455,281959859,9,0.628757997993432,1993-02-20
46618,281961234,10,0.337943942259894,1993-04-27
11288,281963118,3,0.853232872471834,1993-08-08
31434,281968917,7,0.358810234701468,1993-04-11
31362,281969212,7,0.733924481866666,1993-02-28
31363,281971762,7,0.668372041505598,1993-02-28
46459,281971826,10,0.612433348599484,1992-12-31
41495,281972022,9,0.329518773593591,1993-03-21
46551,281974093,10,0.882506342776435,1993-03-21
31395,281978046,7,0.702387931767139,1993-03-25
11255,281981280,3,0.554244315886783,1993-05-18
36448,281981456,8,0.604247706173487,1993-03-24
31374,281981696,7,0.788316827082405,1993-03-08
36544,281983181,8,0.882823845184054,1993-07-21
31487,281986904,7,0.660802348759458,1993-07-11
31385,281988463,7,0.783072767847813,1993-03-18
1130,281990820,1,0.651427878309293,1993-04-23
41545,281991524,9,0.604045695463388,1993-04-11
31420,281992918,7,0.761283722524728,1993-04-01
11247,281998837,3,0.587961530020704,1993-05-10
1031,282001280,1,0.698669796223177,1993-02-25
31398,282001940,7,0.748442201063636,1993-03-25
41570,282002899,9,0.5120062169653,1993-05-09
31520,282005647,7,0.837905753267346,1993-09-30
46635,282006825,10,0.470372045378552,1993-05-26
31466,282009885,7,0.390420428582293,1993-05-14
31383,282010098,7,0.805811320669441,1993-03-17
31384,282011132,7,0.862203940510302,1993-03-17
6190,282012653,2,0.887192488068665,1993-05-05
16347,282013649,4,0.677688531144429,1993-08-15
1044,282014424,1,0.750828534939063,1993-03-05
1043,282014506,1,0.746034212983712,1993-03-05
31380,282015238,7,0.644830724819821,1993-03-14
11278,282015278,3,0.84376887217579,1993-07-29
11279,282015512,3,0.834067741835345,1993-07-29
11280,282015793,3,0.80622886011086,1993-07-29
1107,282015971,1,0.642431625031074,1993-04-05
31417,282016823,7,0.773011620964484,1993-04-01
41526,282017071,9,0.66088378047146,1993-04-01
41555,282017399,9,0.863073352631347,1993-04-18
41524,282018546,9,0.674662760455961,1993-04-01
31503,282018622,7,0.371633285983655,1993-08-03
21273,282025536,5,0.732318408694828,1993-03-15
41547,282027945,9,0.602965424224553,1993-04-16
1119,282028495,1,0.408759886237243,1993-04-16
1133,282028723,1,0.569611615807214,1993-04-29
1101,282033205,1,0.587581681079028,1993-04-02
26425,282035532,6,0.599215428168101,1993-06-26
31540,282035703,7,0.588207203349611,1993-11-03
6221,282036629,2,0.413135375303457,1993-07-25
31453,282041372,7,0.713232848381873,1993-04-22
21422,282041736,5,0.41594198009278,1993-10-12
31451,282045155,7,0.624946535238829,1993-04-22
31557,282048053,7,0.566771629699839,1993-11-28
46672,282048460,10,0.522098999516257,1993-08-22
11281,282050396,3,0.858174755056633,1993-07-30
6255,282052409,2,0.341398766205557,1993-10-06
41534,282053581,9,0.412882581259594,1993-04-02
1108,282054539,1,0.317836127008315,1993-04-06
16286,282058050,4,0.893424218398712,1993-04-18
41554,282060644,9,0.51337936176123,1993-04-17
16283,282061232,4,0.908655844716362,1993-04-17
31467,282066136,7,0.48173801051541,1993-05-15
1176,282067668,1,0.767890611922652,1993-08-01
1095,282072246,1,0.45509991005251,1993-04-01
36522,282075488,8,0.528938288858271,1993-05-16
41634,282095023,9,0.477243384131336,1993-10-07
1111,282095823,1,0.596214655017493,1993-04-11
11283,282101620,3,0.818853368641971,1993-08-01
31547,282104155,7,0.719119630661471,1993-11-11
46720,282104878,10,0.613687086154151,1993-12-05
36589,282105810,8,0.753553231197587,1993-10-17
31563,282106057,7,0.856366388546071,1993-12-09
11295,282108359,3,0.621152728632412,1993-08-26
16330,282113758,4,0.539422522038095,1993-07-25
11282,282114488,3,0.847884410232892,1993-07-30
31550,282115451,7,0.573143515086186,1993-11-16
26489,282119264,6,0.524971594317349,1993-11-07
21421,282121945,5,0.749486911303919,1993-10-09
41591,282125643,9,0.765742935228027,1993-07-01
21446,282127576,5,0.447472423389552,1993-11-22
1152,282129656,1,0.849020964818514,1993-06-09
