"","document","topic","gamma"
"250",217,6,0.434550398250666
"251",218,6,0.218956023572894
"252",221,6,0.97093307224529
"253",223,6,0.391548271627734
"254",237,6,0.901970873122299
"255",248,6,0.998317620397186
"256",278,6,0.53100859213843
"257",282,6,0.988443066699087
"258",292,6,0.41376077302556
"259",298,6,0.990463848727126
"260",318,6,0.784859539884328
"261",23,7,0.997421094868487
"262",36,7,0.996719176815866
"263",68,7,0.997730827652899
"264",113,7,0.875407448785033
"265",185,7,0.724410567051173
"266",186,7,0.998434045527134
"267",196,7,0.83235629906169
"268",204,7,0.997541715451124
"269",206,7,0.995415707631062
"270",214,7,0.999047235019323
"271",232,7,0.77270454808255
"272",243,7,0.993912433423631
"273",7,8,0.828447254201751
"274",10,8,0.500330597518709
"275",18,8,0.518257136763683
"276",20,8,0.550954863384924
"277",24,8,0.665883455831987
"278",27,8,0.729478724988825
"279",28,8,0.599977251614107
"280",30,8,0.44520195013581
"281",33,8,0.611703847150387
"282",43,8,0.624215192911698
"283",47,8,0.564536597786614
"284",50,8,0.775503206460191
"285",56,8,0.643352968483148
"286",57,8,0.498833714528719
"287",58,8,0.628292695181764
"288",66,8,0.705658991404431
"289",71,8,0.557363156396503
"290",78,8,0.379057144219339
"291",80,8,0.418378268854775
"292",88,8,0.573806056753012
"293",94,8,0.765293032814643
"294",99,8,0.609769496168156
"295",104,8,0.907335707406662
"296",110,8,0.49975546905854
"297",114,8,0.375901771650177
"298",115,8,0.509689852459788
"299",129,8,0.401617967267413
"300",139,8,0.982706951045624
"301",140,8,0.779876903179125
"302",146,8,0.533487582122676
"303",171,8,0.489528306082599
"304",179,8,0.666824431307945
"305",202,8,0.408358387170852
"306",205,8,0.665682947586195
"307",215,8,0.537653408369072
"308",216,8,0.704072341461184
"309",240,8,0.976332019300827
"310",253,8,0.503303459301073
"311",257,8,0.448469238375581
"312",263,8,0.600346180638312
"313",265,8,0.643271032362087
"314",276,8,0.498859340856186
"315",284,8,0.390802629526538
"316",285,8,0.539030542080798
"317",291,8,0.570294694065143
"318",297,8,0.837943582199848
"319",299,8,0.780269654621568
"320",304,8,0.584192178353364
"321",307,8,0.698961096209127
"322",310,8,0.510261430471411
"323",316,8,0.473674139947366
"324",321,8,0.566187531288423
"325",323,8,0.550850657202103
