keyword,count
subcommittee,7
national,7
states,7
united,5
house,4
federal,4
rayburn,3
public,3
vote,3
entitled,2
year,2
state,2
hearings,2
march,2
fiscal,2
department,2
senate,2
defense,1
rept,1
district,1
security,1
services,1
affairs,1
hold,1
veterans,1
reserve,1
examine,1
nays,1
neutral,1
fund,1
yeas,1
amendment,1
heard,1
rule,1
roll,1
service,1
june,1
april,1
