GOID,Topic
281213214,6
307378284,4
428029510,1
281408539,1
283164859,1
307369946,2
398207025,8
281307555,3
283142239,2
307382838,2
281253407,0
281328746,5
283116893,0
283086835,1
307365535,3
307361866,0
398301645,1
428073625,1
281474797,8
398227485,2
281448162,0
281345870,0
283178249,7
283258577,1
282913440,6
281435046,0
428069503,6
281348305,0
283000983,2
283144796,5
281262355,1
282886383,1
281424438,6
398204926,5
281416910,3
281420575,3
281387009,3
281388522,5
398315673,3
281428824,2
281509938,8
281412235,2
428113056,2
281406231,1
283093211,0
281491325,1
398208937,7
281468180,0
281448077,3
281302466,2
281367882,5
281301382,7
283105540,2
428125533,2
307390379,5
428121373,0
398213334,2
398212403,6
307414197,0
307413792,1
307403417,6
281458474,0
281492303,2
281455975,2
281322544,5
283065364,0
283008147,3
281394736,2
281393328,1
398298803,1
307432866,2
281385884,5
281360672,7
281353290,0
398235564,4
281370559,1
283166949,0
281448227,4
307415859,3
281348383,1
281329928,2
281455055,2
281424193,3
281389351,3
307422008,1
307459251,4
281504201,5
307446241,0
307453881,5
281482671,5
281441810,7
281435549,2
281479027,5
398269756,1
281473180,2
281412508,5
281397091,1
307428975,2
281399554,5
428223345,1
281568707,0
281513778,1
398259109,5
398220672,3
398314368,1
281490053,1
281503461,1
307463669,2
428208610,2
281498011,1
428194058,7
398348437,2
428186454,0
281452894,5
398334339,5
281529036,5
307458271,5
428183143,2
281483396,2
283137325,2
281467303,2
283183820,1
398259181,2
281490061,3
428254349,2
307449082,4
281582693,7
428252313,0
281567241,0
281553042,3
307433467,5
307442391,3
281481372,4
428232164,0
428230556,2
281543510,5
428282920,7
307457389,4
281439077,5
281511667,0
307452712,6
307485149,3
281622175,3
428281951,1
307440640,0
281491883,7
283378674,5
428275280,7
307460931,1
307452970,5
281492762,3
281620717,5
281522993,1
283274556,4
307489544,0
281607867,6
281610215,0
283164347,0
283120081,0
307512286,0
307471714,2
307457233,2
281630431,2
307457165,2
428370761,1
283192151,0
398246571,7
307470640,1
398252051,4
398334378,6
428367487,1
281518935,1
281512121,4
307481415,7
398241649,3
281525983,3
281526299,3
281559695,6
428348642,4
283404630,8
281495397,2
307481283,3
281507077,8
395225552,4
281579075,3
281772750,7
281678562,3
283278029,2
307513580,1
307497676,1
281601866,5
281662144,2
398359799,3
281527023,3
428392635,1
428389071,4
307518882,6
281503844,4
281588609,7
307498624,4
283259407,2
428386585,4
428386448,3
281580307,3
281713106,8
281515378,1
428379520,7
281682875,3
307496805,3
281700297,3
281594599,3
307516256,3
307499124,1
398262209,2
281808289,2
307492133,0
428428884,4
307526539,3
307535858,1
281534993,6
307490599,4
428416502,4
281591756,3
281645931,6
283259554,1
281597581,4
281842621,5
428412448,4
307486859,1
428407523,1
307489707,6
398301881,5
428475842,7
281550878,2
281636867,3
281658874,1
281540575,3
281648729,5
307514226,2
281660766,6
281659026,2
307535843,5
281720693,8
281648887,3
281630332,5
281654296,5
281624630,5
281624771,6
283305831,0
428448657,4
307537914,6
281723289,1
281624505,5
281754031,5
283196898,1
307535423,2
428510551,3
307519259,9
283141429,5
281676869,6
281654061,5
398388714,2
281653614,3
307539751,6
398277308,1
283259450,1
307529169,4
428511896,1
398279112,6
281648964,1
398314370,6
307507569,6
283176089,4
428495456,4
307537221,4
283174639,4
428492123,4
281664675,3
281550217,5
281637310,8
283249431,2
283243578,6
307516473,4
281706842,6
307508196,4
281533488,2
428532185,3
428534846,2
283232749,2
307529595,8
281691069,0
281683641,6
283372981,5
281724308,0
281724208,4
428526849,0
428488043,5
283154638,0
281678557,5
307544827,0
281712588,5
398333714,2
281753636,4
307557227,8
283314726,4
398262730,4
428566639,4
281758311,1
398284696,3
283308708,2
398313362,2
283224658,4
283228057,1
283233701,2
428553396,1
307507517,4
281656771,1
281697068,4
307504755,8
281722898,2
428554183,6
398275314,4
281685507,0
307501186,2
398305463,6
428546389,0
398349330,4
307527660,6
283300485,8
281730483,7
307531241,3
398348423,2
281735280,0
283223485,6
398400307,8
428575457,4
281780273,8
283293705,2
281666615,2
281801797,5
281825179,3
281749862,2
428641710,4
283265945,2
281758564,5
307575836,6
307550353,3
281793278,2
281778972,5
398294678,6
281814959,1
283312091,0
281708987,2
281856358,6
428679053,5
281675752,5
428676170,1
281747965,5
283273411,3
398295967,4
281781114,8
398348363,6
307544728,4
281796465,3
283317253,0
281870572,5
398390740,4
307540420,6
283292545,2
281835131,2
428661413,6
281754452,1
281787431,7
428672617,2
307528452,8
281788618,1
283452144,2
283258735,2
428668897,4
283310234,2
283380864,4
281716003,0
281728368,2
307557981,4
281721243,8
281799830,7
281695900,8
281775230,0
281688549,6
281688041,6
281687895,2
428709839,7
283420306,4
398362206,4
307551856,8
281842763,3
307582312,3
281827053,4
428745091,4
281688712,3
281817427,2
281814675,6
283303667,6
283395191,4
281726720,6
307544910,4
281868566,2
281868739,5
281864189,6
281714630,6
283333370,2
428788501,5
281820535,8
283340142,0
398298195,4
281777696,3
281839208,8
281828637,1
398354611,1
428805635,2
281781054,7
283324698,7
281842662,5
1729544420,3
428816356,1
283357070,1
281755904,1
307604350,1
281814076,6
281841683,2
307600644,2
281841810,3
281826558,1
283400819,4
281813410,1
281806759,3
281800747,1
281851713,3
281793370,2
281740602,2
281971826,2
281842600,5
307608678,5
283420392,0
281817260,1
283386023,4
281843856,2
281911126,7
281907450,2
281895784,3
281881771,5
307575904,5
428874924,2
307582931,0
428872572,4
307598635,4
398311700,2
281878432,1
283407469,0
398330931,6
281878297,4
281916326,2
283377285,0
307616640,6
281874794,2
283403684,6
281900419,3
281817966,1
283401463,7
281916498,2
428924565,6
307623284,2
398318999,2
281901701,6
281880803,5
307618614,6
428925692,6
307633188,4
428921558,4
281888223,2
307602080,3
281883093,2
281870521,5
283437663,2
281871737,6
281877427,6
428918424,4
398307132,6
307597491,2
281863015,4
281959859,8
428900303,1
283452309,0
281862479,1
283516762,1
283514434,4
281914248,8
281922142,1
282001280,1
281917790,1
281917622,2
307592556,8
281892171,5
281910424,3
283435665,3
281969212,1
281971762,1
428996176,3
281928023,3
283438534,1
282014506,3
282014424,5
398348173,5
428980126,5
283483387,6
281906234,2
283430023,7
281981696,1
281835400,5
283412296,0
307616171,1
283461398,1
428968315,1
282015238,1
282025536,2
428968686,1
282010098,1
282011132,5
281988463,1
307610633,4
281972022,5
307620820,1
281974093,3
283462763,6
281923863,8
307608077,3
283480815,6
281981456,5
281978046,5
428957844,5
281900334,2
282001940,5
281899742,3
398344469,5
398428770,2
283552266,3
307616871,5
281950021,1
281933599,1
428955063,5
428956040,1
428942951,1
281824421,3
283500554,5
283501758,1
281928690,3
281909200,3
281904616,2
429039631,4
282018546,1
282016823,1
282017071,1
282072246,5
281992918,5
307628306,6
307624438,4
398361122,3
429039824,3
282033205,5
282053581,5
283475229,8
429032780,3
307627459,3
307645425,8
282015971,3
282054539,5
307640240,4
281968917,1
282095823,3
307625414,5
281991524,2
398331383,1
282027945,2
429001761,1
398314378,3
283461584,2
282028495,1
283433789,0
282061232,0
282060644,2
282017399,2
282058050,2
429013357,2
307631727,2
282045155,2
281930814,2
282041372,5
281990820,5
281938107,4
281961234,4
282028723,5
283499718,4
398461250,8
282012653,0
307654629,4
282002899,7
281998837,4
429059820,1
283527966,0
282009885,1
282066136,5
282075488,1
283482971,8
283484361,8
281981280,6
283467929,0
282006825,0
307630300,9
307674246,7
282129656,5
307652293,9
307636948,6
282035532,3
283499975,3
398339250,6
307641098,8
282125643,3
429181383,4
283582481,3
282166837,5
281986904,3
307668052,2
283573469,0
281983181,5
282036629,7
282113758,7
307650591,9
282015278,6
282015512,6
282015793,6
282050396,6
282114488,6
282101620,6
282067668,3
283599045,1
283559803,2
282018622,5
281963118,6
1851720157,5
281940046,7
281954237,5
283539341,0
282013649,0
282048460,6
282108359,5
307673356,2
395214646,5
307693263,8
283602382,8
283538639,8
283582352,3
398454570,2
307671635,4
282005647,5
282173759,5
282139659,8
282136869,7
283605440,0
282052409,3
282095023,1
307710185,8
398348618,2
282121945,2
282041736,5
283524234,0
429312441,0
307689092,9
429309465,0
282105810,0
307711466,4
282138151,6
282130415,8
398345428,3
282035703,3
307702933,6
282266439,6
282119264,8
429378525,6
398373066,1
307696841,9
282104155,5
283625755,4
307706774,5
282115451,1
429359903,3
307696813,5
307692681,6
282127576,0
398373429,8
429344955,5
282048053,2
282104878,3
283637345,4
282180447,3
307691063,1
307725029,2
282106057,5
283614419,3
283668352,1
282187336,2
307716208,1
398400766,5
307716597,3
282248738,1
282141300,1
282210418,3
398379364,3
282137655,3
398362029,7
429391891,3
307697901,1
282134226,1
398360213,2
307699482,4
283627473,2
307704118,7
398354917,1
283643070,0
282177904,2
307710403,4
282138375,1
283709282,2
282139250,3
282236087,3
307704209,4
283678516,1
282228218,3
283668126,7
282176314,0
282177088,3
283717668,2
282199254,3
282209319,5
398381723,5
283701207,0
283651152,2
283674292,1
307727844,3
283781018,0
283694601,1
282230633,2
282245456,3
398390370,1
283789468,2
429473616,0
282203570,8
282194548,1
307731158,6
429461998,5
429463324,7
282205008,1
429458930,4
398381310,1
282230232,3
429719117,5
398532189,6
398424701,6
282221505,7
398519697,1
282210754,5
307729324,3
282291292,7
282269518,8
398384202,6
429691587,7
282314034,4
395190286,0
282272322,1
282311355,5
398395592,1
307746695,1
282271835,1
282245407,3
429761416,1
307773409,1
283791144,0
282305361,3
307778091,4
429753730,0
283778044,2
282265612,0
398411150,4
398384338,4
282242032,2
282199920,2
282319638,4
283768872,0
282239371,5
282357283,5
282295173,5
398403424,0
283795869,6
429793236,2
282284742,2
282358249,3
429779968,0
307773835,9
307763302,1
283777993,2
398503756,2
282351422,2
282280505,7
282349306,7
283774976,5
307797438,5
282336987,5
398411714,4
429771136,3
282254725,5
282312960,6
429764738,2
282304232,1
283774830,1
429760787,1
307759949,7
282345419,2
429799742,2
283692841,5
282258658,2
283686833,5
283894775,0
282344690,0
282340527,2
282337113,1
282318478,6
282331488,5
307784259,2
282297285,2
307759542,1
307762038,3
429819038,0
429815965,7
307797221,6
282307563,3
282362257,7
307760463,0
283917523,7
307816312,1
282384321,5
282395415,3
283929369,7
307798664,2
283721858,8
282368520,5
282334009,6
307792926,3
282347011,6
292942060,6
292960755,6
307803629,6
283711598,2
292940893,5
292935091,3
307823938,5
283941665,6
283779940,7
398450358,1
307786086,1
429882789,7
307799301,2
307779968,2
307781675,2
292792524,3
292790060,8
283735747,2
307766604,7
292983235,6
307804400,9
283785911,8
307834052,4
398426419,2
398405989,4
292963901,6
292947944,3
292897310,3
292857114,0
292872001,8
307811245,4
398451457,1
307806285,6
398465204,8
293011522,0
307768190,8
292996937,8
283785826,4
292970123,8
292878538,6
292874834,6
292878475,8
293034602,6
292993162,8
293017619,6
292847631,1
429969018,4
293022201,2
283854436,4
398556012,4
293017507,6
283878641,4
283848681,0
429944094,0
398421599,4
292972675,3
293014624,7
292979114,8
283898399,2
292967064,6
283875206,1
307794762,3
429989856,3
292933448,3
307820342,5
292935721,5
398423106,3
283877685,2
307816055,4
429982985,2
283886146,3
292883362,5
307786163,7
307838598,5
398415561,0
429969420,3
293000452,1
292906705,5
292921582,6
307784256,4
292909988,6
292908319,0
292929332,4
292930877,5
307846885,2
283921061,2
398432305,4
430018347,0
307799838,4
292904957,5
430013080,1
430014917,0
292962411,0
283834595,6
307798699,1
430017321,2
293004297,2
398422127,1
430010897,0
293023006,5
293027789,5
307817754,2
307817650,0
307844987,7
292928316,0
430012910,3
292957226,6
283933817,2
292929689,5
429998639,1
398409825,8
292971284,6
307835046,1
307856075,7
307838860,1
292998592,3
307813461,8
293016468,3
2015283316,4
398468417,5
307864442,5
398485189,6
398449801,3
398446151,6
430067951,1
307836391,2
398570706,1
430061092,4
307853409,7
293089578,4
430043157,4
283864506,6
293045111,5
293003375,4
398491913,4
398439388,6
430039951,2
430043425,4
307820847,1
307857248,9
430098883,2
430103599,4
430101811,4
283961207,4
293127330,4
307875111,4
292975604,2
430097720,4
307854394,0
430096875,3
430096453,0
307861665,9
283925826,2
430096932,1
398470730,6
293113893,5
430095491,2
398448361,6
283909540,8
283912302,0
307859161,4
283955816,3
307857143,9
