topic,keyword,weight
0,subcommittee,0.0367315864260347
0,states,0.031092493063704037
0,senate,0.02960298192439594
0,june,0.029122027108890045
0,united,0.028730016084236434
0,house,0.02840894114526535
0,public,0.024432067837627924
0,national,0.022256358221302015
0,federal,0.020193545742974706
0,service,0.019338382205602456
1,house,0.025378260626045854
1,subcommittee,0.023229427696385342
1,vote,0.021821624172721914
1,department,0.021220258061234298
1,public,0.021115200649694646
1,roll,0.02037523129355642
1,rule,0.019954827272493623
1,national,0.019379248771882452
1,heard,0.018499664390699833
1,states,0.01808962012048713
2,senate,0.04585075820340134
2,amendment,0.04510628077494536
2,vote,0.03816193794031634
2,yeas,0.03169517286576346
2,fund,0.031413934725473144
2,neutral,0.029985278170142758
2,reserve,0.029954320243457302
2,nays,0.029510650028934538
2,states,0.029005409288205698
2,united,0.026884855948475693
3,subcommittee,0.0423313381403972
3,states,0.029852466433952108
3,united,0.027760431289580424
3,federal,0.02682504745940361
3,house,0.02639404102912844
3,national,0.025353169380728072
3,state,0.022787771980572812
3,examine,0.020598757631148046
3,public,0.019822444280679256
3,rayburn,0.018473310831089305
4,subcommittee,0.07847182012281387
4,march,0.044750902993568466
4,federal,0.03212772050308167
4,fiscal,0.030287312584731035
4,year,0.03003167638480984
4,national,0.028627323377806255
4,hearings,0.027797617543432726
4,rayburn,0.026255115123390623
4,services,0.024405866758649555
4,states,0.02432395899627613
5,states,0.034446808951483596
5,united,0.0326075760043968
5,subcommittee,0.0316200469100228
5,national,0.022581526437691485
5,entitled,0.01990088956689557
5,state,0.019766148418872767
5,vote,0.019495553016959752
5,district,0.0190555007854009
5,rept,0.01865860989305194
5,house,0.018622968992893184
6,subcommittee,0.042722753547067435
6,department,0.028973554177116195
6,defense,0.028695310393582217
6,security,0.026526819760422343
6,united,0.026332442159877206
6,national,0.025482175777648823
6,states,0.025405784145013585
6,entitled,0.025399147581867138
6,veterans,0.025242317024912978
6,affairs,0.023550918898529675
7,subcommittee,0.10065843324960458
7,march,0.06851923169036207
7,year,0.0438063406015701
7,fiscal,0.04369902073792072
7,hold,0.04226060540493201
7,hearings,0.04115971476368134
7,april,0.03946061600145473
7,national,0.032943330696746674
7,rayburn,0.03265823025097199
7,federal,0.02871229096954509
