filename,date,topics,keywords
CREC-2011-12-02-pt1-PgD1309.pdf,"December 2, 2011",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2000-09-13-pt1-PgD907.pdf,"September 13, 2000",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2001-03-28-pt1-PgD280.pdf,"March 28, 2001",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2014-09-08-pt1-PgD921.pdf,"September 8, 2014",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-2023-09-20-pt1-PgD902.pdf,"September 20, 2023",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2005-07-15-pt1-PgD762.pdf,"July 15, 2005",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2003-07-17-pt2-PgD841.pdf,"July 17, 2003",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-2006-09-28-pt2-PgD1059.pdf,"September 28, 2006",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2011-05-12-pt1-PgD496.pdf,"May 12, 2011",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2014-09-09-pt1-PgD930.pdf,"September 9, 2014",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2009-12-02-pt1-PgD1387.pdf,"December 2, 2009",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-1995-05-18-pt1-PgD631.pdf,"May 18, 1995",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2020-09-22-pt1-PgD834.pdf,"September 22, 2020",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-1998-07-22-pt1-PgD810.pdf,"July 22, 1998",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2024-04-29-pt1-PgD409-3.pdf,"April 29, 2024",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2000-06-20-pt1-PgD630.pdf,"June 20, 2000",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-1997-05-07-pt1-PgD439.pdf,"May 7, 1997",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2018-11-14-pt1-PgD1173.pdf,"November 14, 2018",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2006-03-16-pt2-PgD263.pdf,"March 16, 2006",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-2016-03-14-pt1-PgD248.pdf,"March 14, 2016",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2009-04-02-pt1-PgD396.pdf,"April 2, 2009",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-1995-05-10-pt1-PgD578.pdf,"May 10, 1995",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2018-02-15-pt1-PgD176.pdf,"February 15, 2018",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-2000-05-03-pt1-PgD417.pdf,"May 3, 2000",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2020-09-23-pt1-PgD838-2.pdf,"September 23, 2020",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2017-05-09-pt1-PgD510-4.pdf,"May 9, 2017",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2003-06-25-pt2-PgD734.pdf,"June 25, 2003",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2011-10-07-pt1-PgD1068-6.pdf,"October 7, 2011",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-2016-02-26-pt1-PgD179-3.pdf,"February 26, 2016",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-1995-05-17-pt1-PgD624.pdf,"May 17, 1995",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2003-04-09-pt2-PgDnull-4.pdf,"April 10, 2003",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2001-05-07-pt1-PgD404-3.pdf,Unknown Date,7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2000-06-21-pt2-PgD639.pdf,"June 21, 2000",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2016-03-15-pt1-PgD259.pdf,"March 15, 2016",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-1995-03-10-pt1-PgD331.pdf,"March 10, 1995",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2002-01-29-pt1-PgD23.pdf,"January 29, 2002",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2017-05-08-pt1-PgD504.pdf,"May 8, 2017",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2001-05-24-pt1-PgD509.pdf,"May 24, 2001",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2007-05-08-pt1-PgD640.pdf,"May 8, 2007",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2015-07-07-pt1-PgD779.pdf,"July 7, 2015",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2009-09-22-pt1-PgD1071.pdf,"September 22, 2009",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-1996-07-24-pt1-PgD805.pdf,"July 24, 1996",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2011-10-03-pt1-PgD1033-2.pdf,"October 3, 2011",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2025-09-10-pt1-PgD906.pdf,"September 10, 2025",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-1997-05-15-pt1-PgD489.pdf,"May 15, 1997",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2011-12-01-pt1-PgD1301.pdf,"December 1, 2011",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2001-03-22-pt1-PgD255.pdf,"March 22, 2001",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2018-11-27-pt1-PgD1206.pdf,"November 27, 2018",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-1997-09-26-pt1-PgD1018.pdf,"September 26, 1997",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2008-03-31-pt1-PgD341-4.pdf,"March 31, 2008",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-1995-07-10-pt1-PgD823-3.pdf,"July 10, 1995",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2005-09-28-pt1-PgD979.pdf,"September 28, 2005",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2002-07-10-pt1-PgD732.pdf,"July 10, 2002",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-1997-09-24-pt1-PgD997.pdf,"September 24, 1997",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2018-06-12-pt1-PgD659.pdf,"June 12, 2018",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2005-05-13-pt1-PgD482-3.pdf,"May 13, 2005",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2002-06-19-pt1-PgD644.pdf,"June 19, 2002",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-1999-06-25-pt1-PgD732-2.pdf,"June 25, 1999",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-1996-06-21-pt1-PgD654-5.pdf,"June 21, 1996",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-1999-05-27-pt1-PgD608.pdf,"May 27, 1999",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-1998-07-14-pt1-PgD758.pdf,"July 14, 1998",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2018-12-21-pt1-PgD1314.pdf,"December 21, 2018",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2014-03-26-pt1-PgD317.pdf,"March 26, 2014",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-1995-03-01-pt1-PgD268.pdf,"March 1, 1995",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2000-05-22-pt1-PgD506-2.pdf,"May 22, 2000",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2015-01-20-pt1-PgD40.pdf,"January 20, 2015",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2011-05-11-pt1-PgD487.pdf,"May 11, 2011",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2006-05-17-pt2-PgD500.pdf,"May 17, 2006",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2011-07-26-pt1-PgD845.pdf,"July 26, 2011",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2020-09-21-pt1-PgD824.pdf,"September 21, 2020",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-1995-08-08-pt1-PgD1008.pdf,"August 8, 1995",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-1997-04-09-pt1-PgD311.pdf,"April 9, 1997",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2007-05-09-pt1-PgD652.pdf,"May 9, 2007",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2009-09-17-pt1-PgD1059-2.pdf,"September 17, 2009",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2014-03-13-pt1-PgD281.pdf,"March 13, 2014",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2011-07-27-pt1-PgD855.pdf,"July 27, 2011",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2024-06-12-pt1-PgD607.pdf,"June 12, 2024",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2018-07-17-pt1-PgD822.pdf,"July 17, 2018",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2025-03-04-pt1-PgD216.pdf,"March 4, 2025",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-1999-05-26-pt1-PgD596.pdf,"May 26, 1999",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2005-09-09-pt1-PgD895-5.pdf,"September 9, 2005",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2005-05-18-pt1-PgD510.pdf,"May 18, 2005",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2016-12-09-pt1-PgD1119.pdf,"December 9, 2016",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
